paid_status,status,Age,gender,education,married_status,city,province,agerange,salary,civil,appcount,phonegrade,simstrength
Paid,0,28,Male,Post Graduate,Unmarried,Warangal,Telangana,25-35,4,759,3,3,1
Pending Payment,1,35,Male,Post Graduate,Unmarried,Hyderabad,Telangana,25-35,4,565,8,5,3
Paid,0,29,Male,Self Employed,Married,Rajkot,GUJARAT,25-35,4,687,4,2,3
Paid,0,31,Male,Self Employed,Unmarried,Guntur,ANDHRA PRADESH,25-35,6,577,6,1,3
Paid,0,39,Male,Graduate,Married,Mumbai,MAHARASHTRA,>35,4,753,3,3,3
Paid,0,29,Male,Graduate,Married,Gulbarga,KARNATAKA,25-35,4,562,8,2,2
Paid,0,29,Male,Graduate,Unmarried,Kangayam,TAMIL NADU,25-35,6,653,6,4,2
Pending Payment,1,24,Male,10th-12th,Unmarried,Bezera Block,ASSAM,<25,3,639,3,4,5
Paid,0,29,Female,Post Graduate,Married,Coimbatore South,TAMIL NADU,25-35,5,704,5,3,1
Paid,0,24,Male,10th-12th,Unmarried,Bilasipara,ASSAM,<25,4,551,4,3,1
Paid,0,40,Male,Post Graduate,Married,Rajahmundry (Urban),ANDHRA PRADESH,>35,4,647,3,4,2
Paid,0,34,Male,Graduate,Unmarried,Thane,MAHARASHTRA,25-35,6,800,2,3,1
Paid,0,25,Male,Post Graduate,Unmarried,Chennai,TAMIL NADU,25-35,4,649,7,4,2
Paid,0,29,Male,Post Graduate,Unmarried,Vadodara,GUJARAT,25-35,5,603,1,1,1
Paid,0,30,Male,Post Graduate,Married,Hyderabad,Telangana,25-35,4,772,5,5,2
Paid,0,26,Male,Post Graduate,Unmarried,Bhubaneswar,ODISHA,25-35,4,640,4,1,3
Paid,0,29,Male,Self Employed,Unmarried,Chengalpattu,TAMIL NADU,25-35,4,788,5,5,3
Paid,0,28,Male,Self Employed,Unmarried,Mysore,KARNATAKA,25-35,4,595,1,1,1
Paid,0,31,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,574,3,3,1
Paid,0,27,Male,Post Graduate,Unmarried,Hubli,KARNATAKA,25-35,4,608,2,5,1
Paid,0,38,Male,Self Employed,Unmarried,Indore,MADHYA PRADESH,>35,5,690,3,2,1
Paid,0,33,Male,Post Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,5,769,2,4,3
Paid,0,32,Male,Graduate,Unmarried,Rajkot,GUJARAT,25-35,5,704,3,5,1
Paid,0,35,Male,Post Graduate,Married,Gandhidham,GUJARAT,25-35,6,687,3,1,3
Paid,0,37,Male,Graduate,Unmarried,Rajahmundry (Urban),ANDHRA PRADESH,>35,4,799,7,1,1
Paid,0,32,Male,Graduate,Married,Bangalore North,KARNATAKA,25-35,4,713,2,2,1
Paid,0,35,Male,Post Graduate,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,754,5,1,2
Paid,0,26,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,25-35,4,599,2,4,3
Paid,0,31,Male,Post Graduate,Unmarried,Ahmadabad City,GUJARAT,25-35,4,771,6,3,2
Paid,0,26,Male,Graduate,Unmarried,Anekal,KARNATAKA,25-35,4,730,5,4,1
Paid,0,29,Male,Self Employed,Married,Vijayawada,Andhra Pradesh,25-35,4,617,2,5,2
Paid,0,32,Male,Post Graduate,Unmarried,Dadar,MAHARASHTRA,25-35,5,647,1,3,3
Paid,0,23,Male,Post Graduate,Unmarried,Hyderabad,Telangana,<25,4,735,2,3,2
Pending Payment,1,24,Male,Graduate,Unmarried,Hyderabad,Telangana,<25,4,604,4,4,4
Paid,0,29,Male,Graduate,Married,Bangalore South,KARNATAKA,25-35,6,571,8,1,2
Pending Payment,1,33,Male,Graduate,Unmarried,Chennai,Tamil Nadu,25-35,4,636,2,3,5
Paid,0,33,Male,Self Employed,Unmarried,Ahmadabad City,GUJARAT,25-35,6,719,3,2,2
Paid,0,26,Male,Graduate,Married,Bangalore North,KARNATAKA,25-35,4,646,8,2,2
Paid,0,33,Male,Post Graduate,Married,Pune City,MAHARASHTRA,25-35,5,557,7,4,1
Pending Payment,1,31,Male,Post Graduate,Married,Warangal,Telangana,25-35,4,544,5,2,3
Paid,0,27,Male,Post Graduate,Unmarried,Kota,RAJASTHAN,25-35,4,645,1,5,3
Paid,0,25,Male,Self Employed,Unmarried,Rajkot,GUJARAT,25-35,4,780,1,1,1
Pending Payment,1,22,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,522,8,3,3
Paid,0,26,Male,Post Graduate,Unmarried,Nashik,MAHARASHTRA,25-35,4,792,6,1,3
Paid,0,35,Female,Self Employed,Unmarried,Nagpur (Urban),MAHARASHTRA,25-35,5,632,6,4,2
Paid,0,29,Male,Self Employed,Married,Bangalore North,KARNATAKA,25-35,4,751,8,5,1
Paid,0,25,Male,Graduate,Unmarried,Vadodara,GUJARAT,25-35,3,691,2,3,1
Paid,0,29,Male,Post Graduate,Unmarried,Bhopal,Madhya Pradesh,25-35,4,691,1,4,3
Paid,0,31,Male,Self Employed,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,568,8,1,1
Paid,0,29,Male,Post Graduate,Married,Ahmadabad City,GUJARAT,25-35,4,726,3,5,3
Paid,0,27,Male,10th-12th,Unmarried,Indore,Madhya Pradesh,25-35,3,557,5,4,2
Pending Payment,1,35,Male,Post Graduate,Unmarried,Banglorenorth,KARNATAKA,25-35,4,557,3,5,3
Paid,0,38,Male,Post Graduate,Unmarried,Nashik,MAHARASHTRA,>35,4,708,8,4,3
Paid,0,32,Male,Post Graduate,Unmarried,Chennai,Tamil Nadu,25-35,5,645,2,3,3
Paid,0,36,Female,Post Graduate,Unmarried,Pune City,MAHARASHTRA,>35,5,648,3,3,2
Paid,0,31,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,573,7,3,1
Paid,0,27,Male,Graduate,Unmarried,Aurangabad,MAHARASHTRA,25-35,4,622,7,5,1
Paid,0,26,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,576,7,3,1
Paid,0,32,Male,10th-12th,Married,Guntur,ANDHRA PRADESH,25-35,4,725,8,5,3
Paid,0,40,Male,Post Graduate,Married,Poonamallee,TAMIL NADU,>35,4,631,3,5,1
Paid,0,39,Male,Graduate,Unmarried,Thane,MAHARASHTRA,>35,4,735,8,5,1
Paid,0,29,Male,Graduate,Married,Egmore Nungambakkam,TAMIL NADU,25-35,4,664,4,1,1
Paid,0,30,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,6,604,6,1,2
Paid,0,33,Male,Self Employed,Married,Gandhinagar,GUJARAT,25-35,4,688,2,5,2
Paid,0,37,Male,10th-12th,Unmarried,Aurangabad,MAHARASHTRA,>35,4,768,8,2,2
Paid,0,29,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,6,711,8,3,3
Paid,0,31,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,758,3,3,1
Paid,0,28,Male,Post Graduate,Married,Vadodara,GUJARAT,25-35,4,689,5,5,2
Paid,0,33,Male,Graduate,Unmarried,Mumbai,Maharashtra,25-35,4,710,5,2,3
Paid,0,38,Male,Post Graduate,Married,Bangalore North,KARNATAKA,>35,4,593,6,2,3
Paid,0,31,Male,Graduate,Married,Avadi,TAMIL NADU,25-35,5,632,6,1,3
Paid,0,36,Male,NA,Married,Pune City,MAHARASHTRA,>35,5,662,8,5,2
Paid,0,23,Male,Graduate,Unmarried,Faridabad,HARYANA,<25,4,676,3,1,3
Paid,0,38,Male,Post Graduate,Married,Visakhapatnam,ANDHRA PRADESH,>35,4,767,3,1,1
Paid,0,36,Male,Post Graduate,Married,Bangalore South,KARNATAKA,>35,4,600,7,1,2
Paid,0,32,Male,Post Graduate,Married,Jaipur,RAJASTHAN,25-35,4,554,7,3,3
Paid,0,31,Male,10th-12th,Unmarried,Karad,MAHARASHTRA,25-35,4,622,4,4,1
Paid,0,24,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,<25,4,709,5,2,1
Paid,0,36,Male,Graduate,Married,Daskroi,GUJARAT,>35,5,642,1,1,2
Paid,0,31,Male,Graduate,Unmarried,Hyderabad,Telangana,25-35,4,692,4,5,1
Paid,0,29,Male,Self Employed,Unmarried,Tada,ANDHRA PRADESH,25-35,4,571,7,3,1
Paid,0,31,Male,Graduate,Unmarried,Rajkot,GUJARAT,25-35,4,677,8,2,1
Paid,0,28,Male,Post Graduate,Unmarried,Ambattur,TAMIL NADU,25-35,4,582,2,5,2
Paid,0,27,Male,10th-12th,Married,Bangalore North,KARNATAKA,25-35,6,679,5,5,1
Paid,0,39,Male,Graduate,Married,Chorasi,GUJARAT,>35,6,617,6,2,2
Paid,0,36,Male,Graduate,Unmarried,Thane,MAHARASHTRA,>35,4,606,7,4,2
Paid,0,24,Male,Post Graduate,Unmarried,Coimbatore South,TAMIL NADU,<25,4,586,1,4,2
Paid,0,34,Male,Graduate,Married,Bhimavaram,ANDHRA PRADESH,25-35,4,761,7,2,3
Paid,0,36,Male,Post Graduate,Unmarried,Sriperumbudur,TAMIL NADU,>35,4,585,5,2,1
Paid,0,28,Male,Graduate,Married,Mumbai,MAHARASHTRA,25-35,4,662,7,2,3
Paid,0,39,Male,Post Graduate,Married,Coimbatore North,TAMIL NADU,>35,4,553,5,3,1
Paid,0,32,Male,Post Graduate,Married,Mumbai,MAHARASHTRA,25-35,4,708,6,2,2
Paid,0,34,Male,Self Employed,Married,Bangalore North,KARNATAKA,25-35,5,762,2,1,3
Paid,0,34,Male,Self Employed,Married,Jaipur,RAJASTHAN,25-35,5,678,3,3,2
Paid,0,28,Male,Self Employed,Unmarried,Dharmapuri,TAMIL NADU,25-35,5,611,5,1,2
Paid,0,27,Male,Graduate,Married,Kozhikode,KERALA,25-35,4,641,1,4,2
Paid,0,32,Male,Post Graduate,Married,Mysore,KARNATAKA,25-35,6,786,7,1,3
Paid,0,39,Male,Self Employed,Married,Nashik,MAHARASHTRA,>35,4,560,5,5,2
Paid,0,34,Male,Post Graduate,Married,Maval,MAHARASHTRA,25-35,4,781,2,3,1
Paid,0,26,Male,Self Employed,Married,Tirupur,TAMIL NADU,25-35,5,622,6,2,2
Paid,0,38,Male,Graduate,Unmarried,Hubli,Karnataka,>35,5,758,2,3,2
Paid,0,25,Male,Graduate,Married,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,576,4,2,2
Paid,0,24,Male,Self Employed,Unmarried,Hyderabad,TELANGANA,<25,4,685,7,3,3
Paid,0,37,Male,10th-12th,Unmarried,Dehradun,UTTARAKHAND,>35,5,713,6,3,2
Paid,0,31,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,4,698,3,5,2
Paid,0,37,Male,Self Employed,Married,Davanagere,KARNATAKA,>35,4,637,5,3,3
Paid,0,34,Male,Self Employed,Married,Maduravoyal,TAMIL NADU,25-35,5,701,2,4,1
Paid,0,23,Male,Post Graduate,Unmarried,Mumbai,MAHARASHTRA,<25,5,590,1,2,2
Paid,0,27,Male,Post Graduate,Unmarried,Chennai City Corporation,TAMIL NADU,25-35,4,684,4,3,2
Paid,0,30,Male,Self Employed,Unmarried,Hubli,KARNATAKA,25-35,5,602,8,1,1
Paid,0,29,Male,Post Graduate,Unmarried,Salem,Tamil Nadu,25-35,5,735,8,2,1
Paid,0,25,Male,Post Graduate,Unmarried,Chorasi,GUJARAT,25-35,5,696,5,3,1
Paid,0,24,Female,Post Graduate,Unmarried,Huzur,MADHYA PRADESH,<25,5,648,6,3,1
Paid,0,26,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,777,6,4,1
Paid,0,28,Male,Graduate,Unmarried,Vadodara,GUJARAT,25-35,3,777,3,1,2
Paid,0,38,Male,Graduate,Married,Thane,MAHARASHTRA,>35,4,647,6,2,1
Paid,0,29,Male,Self Employed,Unmarried,Anantapur,ANDHRA PRADESH,25-35,5,594,6,2,1
Paid,0,32,Male,Post Graduate,Unmarried,Tambaram,TAMIL NADU,25-35,4,629,6,4,1
Paid,0,25,Male,Self Employed,Unmarried,Saharanpur,UTTAR PRADESH,25-35,4,584,5,3,3
Paid,0,29,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,4,782,6,1,2
Paid,0,38,Male,Graduate,Unmarried,Surat City,GUJARAT,>35,3,712,4,3,2
Paid,0,25,Male,Graduate,Unmarried,Kalyan,MAHARASHTRA,25-35,4,789,2,5,2
Paid,0,36,Male,Post Graduate,Married,NA,MAHARASHTRA,>35,5,557,1,3,3
Pending Payment,1,30,Male,Graduate,Unmarried,Visakhapatnam (Urban),ANDHRA PRADESH,25-35,5,596,1,3,5
Paid,0,39,Male,Graduate,Unmarried,Bangalore South,KARNATAKA,>35,4,661,7,4,1
Paid,0,26,Male,Post Graduate,Unmarried,Haveli,MAHARASHTRA,25-35,5,693,2,2,3
Paid,0,25,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,703,3,5,2
Paid,0,27,Male,Graduate,Unmarried,Karempudi,ANDHRA PRADESH,25-35,6,661,4,3,3
Paid,0,28,Male,Self Employed,Married,Jaipur,RAJASTHAN,25-35,5,734,2,1,2
Paid,0,25,Male,NA,Unmarried,Huzur,MADHYA PRADESH,25-35,3,705,7,5,2
Paid,0,34,Male,10th-12th,Married,Chennai City Corporation,TAMIL NADU,25-35,4,595,1,2,3
Paid,0,24,Male,Post Graduate,Unmarried,Aurangabad,MAHARASHTRA,<25,4,699,8,2,1
Paid,0,28,Male,Graduate,Married,Indore,MADHYA PRADESH,25-35,4,604,8,5,3
Paid,0,22,Male,Graduate,Unmarried,Jaipur,RAJASTHAN,<25,4,584,2,3,1
Paid,0,33,Male,Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,5,724,1,3,2
Paid,0,30,Male,Self Employed,Married,Hyderabad,Telangana,25-35,5,579,6,3,2
Pending Payment,1,24,Male,NA,Unmarried,Huzur,MADHYA PRADESH,<25,4,542,1,3,5
Paid,0,27,Male,Post Graduate,Unmarried,Chennai,TAMIL NADU,25-35,6,757,6,5,1
Pending Payment,1,30,Male,Post Graduate,Unmarried,Bhubaneswar,ODISHA,25-35,4,601,4,4,5
Paid,0,28,Male,Graduate,Unmarried,Indore,MADHYA PRADESH,25-35,4,778,3,5,3
Paid,0,34,Male,Graduate,Married,Guntur,ANDHRA PRADESH,25-35,5,686,6,1,1
Paid,0,35,Male,10th-12th,Married,Rabale,MAHARASHTRA,25-35,4,589,2,5,2
Paid,0,26,Male,Post Graduate,Unmarried,Coimbatore South,TAMIL NADU,25-35,5,615,4,1,2
Paid,0,30,Male,Graduate,Unmarried,Surat,GUJARAT,25-35,4,653,2,4,1
Pending Payment,1,33,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,4,562,1,4,4
Paid,0,33,Male,Self Employed,Married,Hanamkonda,TELANGANA,25-35,4,785,3,3,3
Paid,0,24,Female,Self Employed,Unmarried,Bangalore North,KARNATAKA,<25,4,760,3,2,1
Paid,0,30,Male,Self Employed,Married,Bangalore North,KARNATAKA,25-35,5,604,7,2,2
Paid,0,33,Male,Graduate,Married,Guntur,ANDHRA PRADESH,25-35,4,620,6,4,2
Paid,0,34,Male,Post Graduate,Married,Coimbatore,Tamil Nadu,25-35,4,752,4,2,3
Pending Payment,1,24,Male,Self Employed,Unmarried,Pune City,MAHARASHTRA,<25,6,545,3,4,5
Paid,0,27,Male,Post Graduate,Married,North Solapur,MAHARASHTRA,25-35,3,595,5,3,3
Pending Payment,1,32,Male,Post Graduate,Married,Serilingampally,TELANGANA,25-35,5,516,7,4,3
Paid,0,34,Male,Graduate,Unmarried,Ahmedabad,GUJARAT,25-35,4,788,5,4,1
Paid,0,27,Male,Post Graduate,Unmarried,Indore,MADHYA PRADESH,25-35,4,575,7,5,2
Paid,0,29,Male,Self Employed,Unmarried,Bangalore North,KARNATAKA,25-35,4,719,2,3,1
Paid,0,31,Male,Post Graduate,Unmarried,Nagpur,MAHARASHTRA,25-35,4,633,5,3,1
Paid,0,30,Male,Graduate,Unmarried,Gandhi Nagar,GUJARAT,25-35,4,697,8,5,3
Paid,0,28,Female,Self Employed,Married,Nilambur,KERALA,25-35,5,743,8,4,1
Paid,0,28,Male,Post Graduate,Unmarried,Pune City,MAHARASHTRA,25-35,5,799,3,1,1
Paid,0,33,Male,Graduate,Married,Mumbai,Maharashtra,25-35,4,554,8,5,3
Paid,0,33,Male,Graduate,Married,Bangalore North,KARNATAKA,25-35,3,645,3,4,3
Paid,0,30,Male,Post Graduate,Unmarried,Mysore,KARNATAKA,25-35,3,605,3,5,1
Pending Payment,1,28,Male,Graduate,Unmarried,Soro,ODISHA,25-35,4,500,5,3,3
Paid,0,24,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,770,4,3,3
Paid,0,31,Female,Post Graduate,Unmarried,Chennai,Tamil Nadu,25-35,4,561,8,1,1
Paid,0,23,Male,Graduate,Unmarried,NA,TAMIL NADU,<25,4,665,1,1,1
Paid,0,35,Male,Post Graduate,Married,Guntur,ANDHRA PRADESH,25-35,4,677,6,3,3
Paid,0,34,Male,Graduate,Unmarried,Chennai,TAMIL NADU,25-35,5,768,8,4,1
Pending Payment,1,25,Male,Post Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,4,607,5,5,4
Paid,0,36,Male,Post Graduate,Unmarried,Guntur,ANDHRA PRADESH,>35,5,553,8,3,1
Paid,0,30,Male,Self Employed,Married,Mayiladuthurai,TAMIL NADU,25-35,6,740,7,1,2
Paid,0,28,Male,Self Employed,Unmarried,Pune City,MAHARASHTRA,25-35,4,607,6,4,3
Pending Payment,1,24,Male,Post Graduate,Unmarried,Noida,UTTAR PRADESH,<25,5,629,3,2,4
Paid,0,28,Male,Self Employed,Unmarried,Guntur,ANDHRA PRADESH,25-35,4,619,2,5,2
Paid,0,34,Male,Post Graduate,Unmarried,Mumbai,Maharashtra,25-35,4,602,8,5,3
Paid,0,38,Male,Self Employed,Married,Hyderabad,Telangana,>35,4,738,2,1,2
Paid,0,25,Male,Graduate,Unmarried,Uran,MAHARASHTRA,25-35,4,558,5,2,3
Paid,0,33,Male,Post Graduate,Married,Guntur,ANDHRA PRADESH,25-35,4,587,8,1,3
Paid,0,37,Male,Post Graduate,Married,Ambattur,TAMIL NADU,>35,4,640,3,5,1
Paid,0,31,Male,Graduate,Unmarried,Chennai,Tamil Nadu,25-35,4,596,4,4,2
Paid,0,38,Male,Self Employed,Married,Hyderabad,Telangana,>35,5,638,3,3,1
Paid,0,37,Male,Post Graduate,Married,Tiruchirappalli,TAMIL NADU,>35,4,583,6,5,3
Paid,0,27,Female,Post Graduate,Unmarried,Hyderabad,TELANGANA,25-35,4,616,8,1,1
Paid,0,27,Male,Self Employed,Unmarried,Ariyalur,TAMIL NADU,25-35,4,625,4,1,3
Paid,0,26,Male,Graduate,Married,Tiruppur,TAMIL NADU,25-35,4,704,3,4,3
Paid,0,32,Female,Post Graduate,Unmarried,Hyderabad,TELANGANA,25-35,4,738,3,4,2
Paid,0,29,Male,Self Employed,Unmarried,Hyderabad,Telangana,25-35,4,589,5,2,2
Paid,0,30,Male,Post Graduate,Unmarried,Palsana,GUJARAT,25-35,4,701,8,5,2
Paid,0,32,Male,10th-12th,Married,Daskroi,GUJARAT,25-35,4,608,5,3,3
Paid,0,28,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,25-35,4,644,4,5,1
Paid,0,36,Male,Self Employed,Married,Mangalore,Karnataka,>35,4,714,2,4,1
Paid,0,22,Male,Graduate,Unmarried,Bengaluru,Karnataka,<25,4,675,3,2,1
Paid,0,26,Male,Post Graduate,Unmarried,Jaipur,RAJASTHAN,25-35,4,689,7,3,3
Paid,0,27,Male,Graduate,Married,Olpad,GUJARAT,25-35,4,662,8,1,3
Paid,0,39,Male,10th-12th,Married,Malad West,MAHARASHTRA,>35,4,658,1,5,2
Paid,0,26,Male,Post Graduate,Unmarried,Kota,RAJASTHAN,25-35,4,785,8,4,1
Paid,0,26,Male,Post Graduate,Unmarried,Vijayawada (Urban),ANDHRA PRADESH,25-35,4,645,6,1,2
Paid,0,29,Male,Graduate,Married,Ahmadabad City,GUJARAT,25-35,4,683,5,1,3
Paid,0,32,Male,Post Graduate,Unmarried,Visakhapatnam,ANDHRA PRADESH,25-35,6,753,4,5,1
Pending Payment,1,29,Male,Self Employed,Unmarried,Hyderabad,Telangana,25-35,4,539,2,4,5
Paid,0,35,Male,Graduate,Married,Bangalore South,KARNATAKA,25-35,4,571,4,4,3
Paid,0,33,Male,10th-12th,Married,Mysore,KARNATAKA,25-35,4,799,8,3,1
Paid,0,27,Male,Post Graduate,Unmarried,Vadipatti,TAMIL NADU,25-35,5,797,4,2,3
Paid,0,25,Male,Graduate,Unmarried,Poonamallee,TAMIL NADU,25-35,4,589,8,1,1
Paid,0,26,Male,Post Graduate,Unmarried,Vasai,MAHARASHTRA,25-35,4,615,3,5,1
Paid,0,34,Male,Post Graduate,Unmarried,Chennai,Tamil Nadu,25-35,4,757,6,5,2
Paid,0,28,Male,Post Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,3,698,1,3,2
Paid,0,33,Male,Self Employed,Married,Tiruchirappalli,TAMIL NADU,25-35,5,760,7,1,2
Paid,0,29,Male,Self Employed,Unmarried,Bhubaneswar,ODISHA,25-35,4,557,2,4,3
Paid,0,29,Male,Self Employed,Unmarried,Gandhi Nagar,GUJARAT,25-35,5,753,8,2,3
Paid,0,30,Male,Self Employed,Unmarried,Sanganer,RAJASTHAN,25-35,5,564,2,4,2
Paid,0,37,Male,Graduate,Married,Hyderabad,Telangana,>35,4,657,8,4,2
Paid,0,32,Male,Graduate,Married,Vadodara,GUJARAT,25-35,6,793,6,3,3
Paid,0,24,Male,Post Graduate,Unmarried,Chennai,TAMIL NADU,<25,4,662,7,1,1
Paid,0,29,Male,Self Employed,Married,Udumbanchola,KERALA,25-35,5,597,4,3,2
Paid,0,28,Male,10th-12th,Married,NA,RAJASTHAN,25-35,4,719,5,3,1
Paid,0,38,Male,Post Graduate,Unmarried,Ernakulam,KERALA,>35,5,672,7,1,1
Paid,0,37,Female,Post Graduate,Married,Bangalore South,KARNATAKA,>35,4,559,6,4,2
Paid,0,35,Male,Post Graduate,Unmarried,NA,MAHARASHTRA,25-35,4,651,1,5,1
Paid,0,24,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,723,3,2,2
Paid,0,23,Male,Graduate,Unmarried,Mumbai,Maharashtra,<25,4,770,2,5,1
Paid,0,26,Male,Post Graduate,Unmarried,NA,MAHARASHTRA,25-35,4,695,4,4,2
Paid,0,31,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,663,3,2,2
Paid,0,27,Male,Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,4,568,7,4,3
Paid,0,30,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,25-35,5,727,4,2,2
Paid,0,38,Male,Post Graduate,Married,Bangalore South,KARNATAKA,>35,6,603,4,3,1
Paid,0,28,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,628,8,3,3
Paid,0,27,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,4,569,1,1,1
Paid,0,29,Male,Post Graduate,Unmarried,Jamnagar,GUJARAT,25-35,5,780,7,5,3
Paid,0,33,Male,NA,Unmarried,Mumbai,MAHARASHTRA,25-35,5,654,8,1,1
Paid,0,35,Male,Self Employed,Married,Bangalore South,KARNATAKA,25-35,6,671,4,4,2
Paid,0,31,Male,Post Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,4,567,6,5,2
Paid,0,26,Male,10th-12th,Unmarried,Bangalore North,KARNATAKA,25-35,4,718,5,2,2
Paid,0,25,Male,Post Graduate,Unmarried,Bangalore South,KARNATAKA,25-35,3,621,4,4,1
Pending Payment,1,25,Male,Post Graduate,Unmarried,Hospet,KARNATAKA,25-35,3,608,8,3,3
Paid,0,25,Male,Graduate,Unmarried,Bengaluru,Karnataka,25-35,4,557,8,3,1
Paid,0,37,Male,Post Graduate,Unmarried,Bengaluru,Karnataka,>35,5,745,7,2,1
Paid,0,22,Male,Post Graduate,Unmarried,Bangalore North,KARNATAKA,<25,4,709,4,3,1
Paid,0,35,Male,Graduate,Unmarried,Mumbai,MAHARASHTRA,25-35,4,682,6,4,1
